"NOME_FANTASIA","SITUACAO_CADASTRAL","DATA_INICIO_ATIVIDADE","CNAE_FISCAL_PRINCIPAL","CNPJ"
"RONDOMINAS MADEIRAS","2","20130305","1610203","17695496000168"
"MADEFLONA","2","20131216","220901","10372884000320"
"EBATA PRODUTOS FLORESTAIS LTDA","2","20140903","220901","15294432000553"
"SERRARIA PONTE BONITA","2","20151217","1610203","23861242000175"
"AGROPECUARIA AGUA BOA","2","20160322","1610203","24435362000173"
"R. M. COMERCIO DE MADEIRA","2","20160426","1610203","24661396000186"
"MADREX","2","20171219","1610203","29292524000185"
"MADEIREIRA PORTAL DO ABUNA","2","20181005","1610204","31698302000109"
"BRASIL FLORA MADEIRAS","2","20210209","1610203","40770716000192"
"MADLIMA","2","20201201","230600","39978393000148"
"MADEIREIRA VENEZA","2","20211123","1610203","44347765000178"
"EPAU PROJETOS","2","20220718","4671100","47193854000103"
"SUPERMERCADO BUJARI","2","19960124","4711302","1014227000159"
"LAMINADOS SERINGUEIRAS","2","20010502","1621800","4428458000105"
"FAZENDA UNIAO","2","19900517","7490103","34712570000126"
"ATEXMA","2","19920602","9430800","34925172000198"
"SAMEX MADEIRAS","2","20060511","1610203","7984169000172"
"MADERBENCK","2","20020325","1610203","4970492000107"
"PORTAL MADEIRAS","2","19860812","1610203","14585483000148"
"UNIVERSAL TIMBER","2","20080703","230600","10199645000159"
"SERRARIA BORGES","2","20110718","1610203","13961786000155"
"PARAISO MADEIRAS","2","20160415","1610203","24605041000170"
"TOMAS COMERCIO DE MADEIRAS EIRELI","2","20170222","1610203","27168980000192"
"ALMIRANTE COM. E BENEF. DE MAD. IMPORTACAO E EXPORTACAO","2","20180409","1610203","30142604000133"
"FAZENDA NOVO HORIZONTE","2","20190218","151201","32343251000246"
"RRX TIMBER EXPORT","2","20171227","220901","29325091000117"
"MADEIREIRA NOVA VIDA","2","20201118","1610203","39826014000102"
"ASPROC","2","19951226","9430800","984909000121"
"ASSOCIACAO DOS PEQUENOS PRODUTORES AGROFLORESTAIS DAS COMUNIDADES MAMORE E MARACANA","2","20040310","9430800","6289657000105"
"CERAMICA ASA BRANCA","2","20011127","2342702","4786148000154"
"MADEIREIRA JACARE","2","19960926","1610203","1451357000159"
"COOMFLONA","2","20050411","220901","7315165000100"
"ELETROGOES S/A EM RECUPERACAO JUDICIAL","2","19890526","3511501","32923187000191"
"MADEIREIRA RONDON","2","20010514","1610203","4505890000144"
"MADEIREIRA JK","2","20080425","1610203","9508457000186"
"FF MADEIRAS","2","20100824","1610203","12429880000103"
"JAVA MADEIRAS","2","20110927","1610203","14362469000185"
"EBATA PRODUTOS FLORESTAIS LTDA","2","20120525","220901","15294432000391"
"APAEPL","2","20071122","9430800","9252185000104"
"MADEIREIRA 2S","2","20160420","1610203","24632500000104"
"MADEIREIRA SOL NASCENTE","2","20170324","1610203","27379232000159"
"MADERFIBRA MADEIRAS","2","20200108","1610203","35930093000138"
"MADERIN MADEIRAS","2","20200908","1610204","38372704000168"
"A3 AGROPECUARIA","2","20200928","220901","39150281000102"
"MADEIREIRA GUARANTA","2","20210216","1610203","40874095000197"
"ACDSCJ","2","19980723","230600","2974628000113"
"P. P. MADEIRAS DA AMAZONIA","2","20011129","4744002","4813204000100"
"ASSOCIACAO COMUNITARIA DE SAO FRANCISCO DO AIUCA","2","20011212","9411100","4827759000101"
"ASPPAAESE","2","20010913","9430800","4674843000124"
